account_id,account_token,person_id,bank,account_type,synthetic_status
ACC001,SYNTH-ACCOUNT-0001,P001,Bank-B,Current,SYNTHETIC
ACC002,SYNTH-ACCOUNT-0002,P003,Bank-C,Wallet,SYNTHETIC
ACC003,SYNTH-ACCOUNT-0003,P005,Bank-D,Savings,SYNTHETIC
ACC004,SYNTH-ACCOUNT-0004,P007,Bank-A,Current,SYNTHETIC
ACC005,SYNTH-ACCOUNT-0005,P009,Bank-B,Wallet,SYNTHETIC
ACC006,SYNTH-ACCOUNT-0006,P011,Bank-C,Savings,SYNTHETIC
ACC007,SYNTH-ACCOUNT-0007,P013,Bank-D,Current,SYNTHETIC
ACC008,SYNTH-ACCOUNT-0008,P015,Bank-A,Wallet,SYNTHETIC
ACC009,SYNTH-ACCOUNT-0009,P017,Bank-B,Savings,SYNTHETIC
ACC010,SYNTH-ACCOUNT-0010,P019,Bank-C,Current,SYNTHETIC
ACC011,SYNTH-ACCOUNT-0011,P021,Bank-D,Wallet,SYNTHETIC
ACC012,SYNTH-ACCOUNT-0012,P023,Bank-A,Savings,SYNTHETIC
ACC013,SYNTH-ACCOUNT-0013,P025,Bank-B,Current,SYNTHETIC
ACC014,SYNTH-ACCOUNT-0014,P027,Bank-C,Wallet,SYNTHETIC
ACC015,SYNTH-ACCOUNT-0015,P029,Bank-D,Savings,SYNTHETIC
ACC016,SYNTH-ACCOUNT-0016,P031,Bank-A,Current,SYNTHETIC
ACC017,SYNTH-ACCOUNT-0017,P033,Bank-B,Wallet,SYNTHETIC
ACC018,SYNTH-ACCOUNT-0018,P035,Bank-C,Savings,SYNTHETIC
ACC019,SYNTH-ACCOUNT-0019,P037,Bank-D,Current,SYNTHETIC
ACC020,SYNTH-ACCOUNT-0020,P039,Bank-A,Wallet,SYNTHETIC
ACC021,SYNTH-ACCOUNT-0021,P041,Bank-B,Savings,SYNTHETIC
ACC022,SYNTH-ACCOUNT-0022,P043,Bank-C,Current,SYNTHETIC
ACC023,SYNTH-ACCOUNT-0023,P045,Bank-D,Wallet,SYNTHETIC
ACC024,SYNTH-ACCOUNT-0024,P047,Bank-A,Savings,SYNTHETIC
ACC025,SYNTH-ACCOUNT-0025,P049,Bank-B,Current,SYNTHETIC
ACC026,SYNTH-ACCOUNT-0026,P051,Bank-C,Wallet,SYNTHETIC
ACC027,SYNTH-ACCOUNT-0027,P053,Bank-D,Savings,SYNTHETIC
ACC028,SYNTH-ACCOUNT-0028,P055,Bank-A,Current,SYNTHETIC
ACC029,SYNTH-ACCOUNT-0029,P057,Bank-B,Wallet,SYNTHETIC
ACC030,SYNTH-ACCOUNT-0030,P059,Bank-C,Savings,SYNTHETIC
ACC031,SYNTH-ACCOUNT-0031,P061,Bank-D,Current,SYNTHETIC
ACC032,SYNTH-ACCOUNT-0032,P063,Bank-A,Wallet,SYNTHETIC
ACC033,SYNTH-ACCOUNT-0033,P065,Bank-B,Savings,SYNTHETIC
ACC034,SYNTH-ACCOUNT-0034,P067,Bank-C,Current,SYNTHETIC
ACC035,SYNTH-ACCOUNT-0035,P069,Bank-D,Wallet,SYNTHETIC
ACC036,SYNTH-ACCOUNT-0036,P071,Bank-A,Savings,SYNTHETIC
ACC037,SYNTH-ACCOUNT-0037,P073,Bank-B,Current,SYNTHETIC
ACC038,SYNTH-ACCOUNT-0038,P075,Bank-C,Wallet,SYNTHETIC
ACC039,SYNTH-ACCOUNT-0039,P077,Bank-D,Savings,SYNTHETIC
ACC040,SYNTH-ACCOUNT-0040,P079,Bank-A,Current,SYNTHETIC
