record_id,caller_number,receiver_number,timestamp,duration_seconds,call_type,cell_tower_id
CDR-1001,9811100001,9999900000,2026-03-11 22:14:03,142,OUTGOING,DL-DEL-TOW-04
CDR-1002,9999900000,9811100001,2026-03-12 08:30:12,45,OUTGOING,DL-DEL-TOW-04
CDR-1003,9811100001,9999900000,2026-03-12 11:45:21,310,OUTGOING,DL-DEL-TOW-02
CDR-1004,9822200002,9999900000,2026-03-17 19:10:44,98,OUTGOING,GGN-HR-TOW-11
CDR-1005,9822200002,9999900000,2026-03-18 14:05:30,240,OUTGOING,GGN-HR-TOW-11
CDR-1006,9999900000,9822200002,2026-03-18 17:02:15,62,OUTGOING,DL-DEL-TOW-04
CDR-1007,9811100001,9899911111,2026-03-10 14:12:00,120,OUTGOING,DL-DEL-TOW-01
CDR-1008,9822200002,9877722222,2026-03-16 11:20:10,75,OUTGOING,GGN-HR-TOW-09
CDR-1009,9811100001,9999900000,2026-03-20 23:45:12,185,OUTGOING,DL-DEL-TOW-04
CDR-1010,9822200002,9999900000,2026-03-21 00:15:33,190,OUTGOING,GGN-HR-TOW-11
